qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	kegg_gene_id	pathway_id	pathway_name
tag_1	sp|P05100.1|	P05100	RecName: Full=DNA-3-methyladenine glycosylase 1; AltName: Full=3-methyladenine-DNA glycosylase I, constitutive; Short=TAG I; AltName: Full=DNA-3-methyladenine glycosidase I; AltName: Full=DNA-3-methyladenine glycosylase I [Escherichia coli K-12]	50.549	182	1.57e-50	164	NA	NA	NA
tag_2	sp|P05100.1|	P05100	RecName: Full=DNA-3-methyladenine glycosylase 1; AltName: Full=3-methyladenine-DNA glycosylase I, constitutive; Short=TAG I; AltName: Full=DNA-3-methyladenine glycosidase I; AltName: Full=DNA-3-methyladenine glycosylase I [Escherichia coli K-12]	47.312	186	2.6899999999999994e-55	177	NA	NA	NA
tal_1	sp|Q4KF90.1|	Q4KF90	RecName: Full=Transaldolase [Pseudomonas protegens Pf-5]	87.542	297	0	543	NA	NA	NA
tal_2	sp|Q4KF90.1|	Q4KF90	RecName: Full=Transaldolase [Pseudomonas protegens Pf-5]	80.392	306	1.1099999999999998e-179	501	NA	NA	NA
tamA	sp|D2TN56.1|	D2TN56	RecName: Full=Translocation and assembly module subunit TamA; AltName: Full=Autotransporter assembly factor TamA; Flags: Precursor [Citrobacter rodentium ICC168]	34.035	570	1.06e-100	319	NA	NA	NA
tamB	sp|D2TN57.1|	D2TN57	RecName: Full=Translocation and assembly module subunit TamB; AltName: Full=Autotransporter assembly factor TamB; AltName: Full=Intermembrane phospholipid transporter TamB [Citrobacter rodentium ICC168]	30.012	853	1.4700000000000002e-91	325	NA	NA	NA
tam_1	sp|Q98K73.1|	Q98K73	RecName: Full=Trans-aconitate 2-methyltransferase [Mesorhizobium japonicum MAFF 303099]	50.996	251	8.589999999999999e-92	274	NA	NA	NA
tam_2	sp|P44074.1|	P44074	RecName: Full=Uncharacterized protein HI_0912 [Haemophilus influenzae Rd KW20]	35.146	239	1.1299999999999999e-35	130	NA	NA	NA
tas	sp|P0A9T4.1|	P0A9T4	RecName: Full=Protein tas [Escherichia coli K-12]	54.046	346	6.969999999999999e-121	355	NA	NA	NA
tatA	sp|C3K8T9.1|	C3K8T9	RecName: Full=Sec-independent protein translocase protein TatA [Pseudomonas [fluorescens] SBW25]	98.913	92	2.01e-34	116	NA	NA	NA
tatB	sp|Q3KJD1.1|	Q3KJD1	RecName: Full=Sec-independent protein translocase protein TatB [Pseudomonas fluorescens Pf0-1]	91.209	91	7.999999999999999e-43	141	NA	NA	NA
tatC	sp|P54085.2|	P54085	RecName: Full=Sec-independent protein translocase protein TatC [Azotobacter chroococcum (strain mcd 1)]	71.488	242	8.739999999999999e-113	327	NA	NA	NA
tatD	sp|D4ICL5.1|	D4ICL5	RecName: Full=3'-5' ssDNA/RNA exonuclease TatD; AltName: Full=DNase TatD [Erwinia amylovora ATCC 49946]	50	262	4.91e-76	234	NA	NA	NA
tauA_1	sp|Q47537.1|	Q47537	RecName: Full=Taurine-binding periplasmic protein; AltName: Full=Sulfate starvation-induced protein 1; Short=SSI1; Flags: Precursor [Escherichia coli K-12]	53.87	323	3.0999999999999996e-116	341	NA	NA	NA
tauA_2	sp|Q47537.1|	Q47537	RecName: Full=Taurine-binding periplasmic protein; AltName: Full=Sulfate starvation-induced protein 1; Short=SSI1; Flags: Precursor [Escherichia coli K-12]	56.04	298	8.329999999999998e-112	330	NA	NA	NA
tauB	sp|Q3KJQ7.1|	Q3KJQ7	RecName: Full=Taurine import ATP-binding protein TauB [Pseudomonas fluorescens Pf0-1]	94.51	255	7.71e-172	477	NA	NA	NA
tauD_1	sp|Q88RA3.1|	Q88RA3	RecName: Full=Alpha-ketoglutarate-dependent taurine dioxygenase [Pseudomonas putida KT2440]	83.333	276	6.309999999999999e-174	484	NA	NA	NA
tauD_2	sp|Q88RA3.1|	Q88RA3	RecName: Full=Alpha-ketoglutarate-dependent taurine dioxygenase [Pseudomonas putida KT2440]	39.446	289	9.449999999999999e-61	197	NA	NA	NA
tcdA	sp|Q46927.1|	Q46927	RecName: Full=tRNA threonylcarbamoyladenosine dehydratase; AltName: Full=t(6)A37 dehydratase [Escherichia coli K-12]	55.686	255	1.3900000000000002e-73	229	NA	NA	NA
tctD	sp|E1WA34.1|	E1WA34	RecName: Full=Transcriptional regulatory protein TctD [Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344]	53.604	222	1.5500000000000002e-73	225	NA	NA	NA
tcyA	sp|P42199.3|	P42199	RecName: Full=L-cystine-binding protein TcyA; Flags: Precursor [Bacillus subtilis subsp. subtilis str. 168]	33.473	239	2.31e-25	104	NA	NA	NA
tcyC_1	sp|Q8NQU4.2|	Q8NQU4	RecName: Full=Arginine transport ATP-binding protein ArgV [Corynebacterium glutamicum ATCC 13032]	58.233	249	6.199999999999999e-99	292	NA	NA	NA
tcyC_2	sp|P37774.2|	P37774	RecName: Full=L-cystine transport system ATP-binding protein TcyN [Escherichia coli K-12]	75.918	245	1.32e-134	382	NA	NA	NA
tcyC_3	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	NA	NA	NA
tcyL	sp|O34315.1|	O34315	RecName: Full=L-cystine transport system permease protein TcyL [Bacillus subtilis subsp. subtilis str. 168]	30.144	209	6.240000000000001e-26	103	NA	NA	NA
tcyP	sp|P77529.1|	P77529	RecName: Full=L-cystine transporter TcyP; AltName: Full=S-sulfocysteine transporter [Escherichia coli K-12]	80.09	442	0	635	NA	NA	NA
tdhA	sp|Q7VNU1.1|	Q7VNU1	RecName: Full=TonB-dependent heme receptor A; Flags: Precursor [[Haemophilus] ducreyi 35000HP]	40.608	724	1.3199999999999998e-165	502	NA	NA	NA
tdh_1	sp|O74822.1|	O74822	RecName: Full=Zinc-type alcohol dehydrogenase-like protein C337.11 [Schizosaccharomyces pombe 972h-]	36.275	306	2.4899999999999997e-48	167	NA	NA	NA
tdh_2	sp|P28304.1|	P28304	RecName: Full=Quinone oxidoreductase 1; AltName: Full=NADPH:quinone reductase 1; AltName: Full=Zeta-crystallin homolog protein [Escherichia coli K-12]	32.271	251	1.51e-25	107	NA	NA	NA
tesA	sp|Q9HZY8.1|	Q9HZY8	RecName: Full=Esterase TesA; Flags: Precursor [Pseudomonas aeruginosa PAO1]	68.657	201	8.47e-86	254	NA	NA	NA
tesB	sp|P0AGG2.2|	P0AGG2	RecName: Full=Acyl-CoA thioesterase 2; AltName: Full=Thioesterase II; Short=TEII [Escherichia coli K-12]	51.056	284	4.77e-100	297	NA	NA	NA
tetX	sp|Q01911.1|	Q01911	RecName: Full=Flavin-dependent monooxygenase; AltName: Full=TetX monooxygenase; Short=TetX; AltName: Full=Tetracycline resistance protein from transposon Tn4351/Tn4400 [Bacteroides fragilis]	32.537	335	7.79e-43	156	NA	NA	NA
tgt	sp|Q887B0.1|	Q887B0	RecName: Full=Queuine tRNA-ribosyltransferase; AltName: Full=Guanine insertion enzyme; AltName: Full=tRNA-guanine transglycosylase [Pseudomonas syringae pv. tomato str. DC3000]	94.595	370	0	734	NA	NA	NA
thadh	sp|A4F2N8.1|	A4F2N8	RecName: Full=L-threo-3-hydroxyaspartate ammonia-lyase; AltName: Full=L-threo-3-hydroxyaspartate dehydratase; Short=L-THA DH [Pseudomonas sp.]	86.478	318	0	527	NA	NA	NA
thiC	sp|Q87VG1.1|	Q87VG1	RecName: Full=Phosphomethylpyrimidine synthase; AltName: Full=Hydroxymethylpyrimidine phosphate synthase; Short=HMP-P synthase; Short=HMP-phosphate synthase; Short=HMPP synthase; AltName: Full=Thiamine biosynthesis protein ThiC [Pseudomonas syringae pv. tomato str. DC3000]	95.231	629	0	1263	NA	NA	NA
thiD	sp|A0A0J9X285.2|	A0A0J9X285	RecName: Full=Hydroxylmethylpyrimidine kinase; Short=HMP kinase; Short=HMPK; AltName: Full=AbHMPK [Acinetobacter baumannii IS-123]	45.703	256	4.97e-63	201	NA	NA	NA
thiE_1	sp|P77788.1|	P77788	RecName: Full=CTP pyrophosphohydrolase [Escherichia coli K-12]	43.363	113	2.91e-19	85.5	NA	NA	NA
thiE_2	sp|C3K2K2.1|	C3K2K2	RecName: Full=Thiamine-phosphate synthase; Short=TP synthase; Short=TPS; AltName: Full=Thiamine-phosphate pyrophosphorylase; Short=TMP pyrophosphorylase; Short=TMP-PPase [Pseudomonas [fluorescens] SBW25]	96.172	209	8.44e-134	377	NA	NA	NA
thiG	sp|C3K3L7.1|	C3K3L7	RecName: Full=Thiazole synthase [Pseudomonas [fluorescens] SBW25]	98.864	264	0	531	NA	NA	NA
thiI	sp|C3K7D0.1|	C3K7D0	RecName: Full=tRNA sulfurtransferase; AltName: Full=Sulfur carrier protein ThiS sulfurtransferase; AltName: Full=Thiamine biosynthesis protein ThiI; AltName: Full=tRNA 4-thiouridine synthase [Pseudomonas [fluorescens] SBW25]	97.727	484	0	980	NA	NA	NA
thiL	sp|P0AGG0.1|	P0AGG0	RecName: Full=Thiamine-monophosphate kinase; Short=TMP kinase; Short=Thiamine-phosphate kinase [Escherichia coli K-12]	45.963	322	2.75e-69	222	NA	NA	NA
thiO	sp|Q88Q83.1|	Q88Q83	RecName: Full=Glycine oxidase; Short=GO [Pseudomonas putida KT2440]	78.869	336	1.2499999999999999e-166	473	NA	NA	NA
thlA	sp|Q86AD9.1|	Q86AD9	RecName: Full=Probable acetyl-CoA acetyltransferase; AltName: Full=Acetoacetyl-CoA thiolase [Dictyostelium discoideum]	50.127	393	2.4799999999999997e-115	345	NA	NA	NA
thpA_1	sp|A0QYB5.1|	A0QYB5	RecName: Full=D-threitol-binding protein; Flags: Precursor [Mycolicibacterium smegmatis MC2 155]	33.835	266	2.38e-24	104	NA	NA	NA
thpA_2	sp|A0QYB5.1|	A0QYB5	RecName: Full=D-threitol-binding protein; Flags: Precursor [Mycolicibacterium smegmatis MC2 155]	37.037	270	1.12e-46	164	NA	NA	NA
thpA_3	sp|P49308.1|	P49308	RecName: Full=Putative rhizopine-binding protein; Flags: Precursor [Sinorhizobium meliloti]	48.432	287	3.24e-75	236	NA	NA	NA
thrB	sp|Q02DL4.1|	Q02DL4	RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Pseudomonas aeruginosa UCBPP-PA14]	73.502	317	1.7899999999999996e-152	432	NA	NA	NA
thrC	sp|P29363.3|	P29363	RecName: Full=Threonine synthase; Short=TS [Pseudomonas aeruginosa PAO1]	86.567	469	0	860	NA	NA	NA
thrS	sp|C3JZN7.1|	C3JZN7	RecName: Full=Threonine--tRNA ligase; AltName: Full=Threonyl-tRNA synthetase; Short=ThrRS [Pseudomonas [fluorescens] SBW25]	98.906	640	0	1275	NA	NA	NA
thyA	sp|C3K3Q8.1|	C3K3Q8	RecName: Full=Thymidylate synthase; Short=TS; Short=TSase [Pseudomonas [fluorescens] SBW25]	99.639	277	0	551	NA	NA	NA
tig	sp|C3JYK1.1|	C3JYK1	RecName: Full=Trigger factor; Short=TF; AltName: Full=PPIase [Pseudomonas [fluorescens] SBW25]	97.477	436	0	827	NA	NA	NA
tilS	sp|Q9HXZ3.1|	Q9HXZ3	RecName: Full=tRNA(Ile)-lysidine synthase; AltName: Full=tRNA(Ile)-2-lysyl-cytidine synthase; AltName: Full=tRNA(Ile)-lysidine synthetase [Pseudomonas aeruginosa PAO1]	63.699	438	1.3199999999999998e-174	499	NA	NA	NA
tkt	sp|A0A0I9QGZ2.1|	A0A0I9QGZ2	RecName: Full=Transketolase; Short=TK [Geobacillus stearothermophilus]	52.709	683	0	713	NA	NA	NA
tktA	sp|P27302.5|	P27302	RecName: Full=Transketolase 1; Short=TK 1 [Escherichia coli K-12]	71.988	664	0	1029	NA	NA	NA
tldD	sp|P0AGG8.1|	P0AGG8	RecName: Full=Metalloprotease TldD [Escherichia coli K-12]	65.885	469	0	591	NA	NA	NA
tmk_1	sp|Q6AJE2.1|	Q6AJE2	RecName: Full=Thymidylate kinase; AltName: Full=dTMP kinase [Desulfotalea psychrophila LSv54]	31.933	119	7.14e-8	54.3	NA	NA	NA
tmk_2~~~tmk_3	sp|C3K0M9.1|	C3K0M9	RecName: Full=Thymidylate kinase; AltName: Full=dTMP kinase [Pseudomonas [fluorescens] SBW25]	91.905	210	6.69e-135	379	NA	NA	NA
tobZ	sp|P74178.1|	P74178	RecName: Full=Uncharacterized protein sll1178 [Synechocystis sp. PCC 6803 substr. Kazusa]	35.4	613	2.22e-92	299	NA	NA	NA
tolB	sp|C3JYS2.1|	C3JYS2	RecName: Full=Tol-Pal system protein TolB; Flags: Precursor [Pseudomonas [fluorescens] SBW25]	99.045	419	0	852	NA	NA	NA
tolC_1	sp|Q9K2Y1.1|	Q9K2Y1	RecName: Full=Outer membrane protein TolC; AltName: Full=Multidrug efflux pump subunit TolC; Flags: Precursor [Vibrio cholerae O1 biovar El Tor str. N16961]	36.703	455	4.79e-75	245	NA	NA	NA
tolC_2	sp|Q9K2Y1.1|	Q9K2Y1	RecName: Full=Outer membrane protein TolC; AltName: Full=Multidrug efflux pump subunit TolC; Flags: Precursor [Vibrio cholerae O1 biovar El Tor str. N16961]	31.132	424	6.039999999999999e-54	190	NA	NA	NA
tolC_3	sp|Q03027.1|	Q03027	RecName: Full=Alkaline protease secretion protein AprF [Pseudomonas aeruginosa PAO1]	52.727	440	9.999999999999998e-145	424	NA	NA	NA
tolQ_1	sp|Q05605.1|	Q05605	RecName: Full=Biopolymer transport protein ExbB [Pseudomonas putida]	88.43	242	3.97e-127	369	NA	NA	NA
tolQ_2	sp|P50598.1|	P50598	RecName: Full=Tol-Pal system protein TolQ [Pseudomonas aeruginosa PAO1]	87.879	231	1.5899999999999997e-145	408	NA	NA	NA
tolQ_3	sp|O27101.1|	O27101	RecName: Full=Putative biopolymer transport protein ExbB homolog [Methanothermobacter thermautotrophicus str. Delta H]	31.156	199	1.15e-14	73.9	NA	NA	NA
tolQ_5	sp|B0RLE6.1|	B0RLE6	RecName: Full=Biopolymer transport protein ExbB [Xanthomonas campestris pv. campestris str. B100]	35.821	201	4.6200000000000004e-33	123	NA	NA	NA
topA	sp|Q9HZJ5.1|	Q9HZJ5	RecName: Full=DNA topoisomerase 1; AltName: Full=DNA topoisomerase I; AltName: Full=Omega-protein; AltName: Full=Relaxing enzyme; AltName: Full=Swivelase; AltName: Full=Untwisting enzyme [Pseudomonas aeruginosa PAO1]	87.356	870	0	1603	NA	NA	NA
topB	sp|Q9KQF5.1|	Q9KQF5	RecName: Full=DNA topoisomerase 3; AltName: Full=DNA topoisomerase III [Vibrio cholerae O1 biovar El Tor str. N16961]	39.206	630	9.5e-147	443	NA	NA	NA
topB_2	sp|Q9KQF5.1|	Q9KQF5	RecName: Full=DNA topoisomerase 3; AltName: Full=DNA topoisomerase III [Vibrio cholerae O1 biovar El Tor str. N16961]	36.463	639	1.1099999999999999e-129	401	NA	NA	NA
tpd	sp|Q2YK40.1|	Q2YK40	RecName: Full=UPF0423 protein BAB2_0840; Flags: Precursor [Brucella abortus 2308]	47.368	152	5.29e-34	121	NA	NA	NA
tpiA	sp|Q4KIF9.1|	Q4KIF9	RecName: Full=Triosephosphate isomerase; Short=TIM; Short=TPI; AltName: Full=Triose-phosphate isomerase [Pseudomonas protegens Pf-5]	93.625	251	2.82e-172	477	NA	NA	NA
tpiA_1	sp|Q07NF3.1|	Q07NF3	RecName: Full=Triosephosphate isomerase; Short=TIM; Short=TPI; AltName: Full=Triose-phosphate isomerase [Rhodopseudomonas palustris BisA53]	54.618	249	1.63e-85	258	NA	NA	NA
tpm	sp|C3K732.1|	C3K732	RecName: Full=Thiopurine S-methyltransferase; AltName: Full=Thiopurine methyltransferase [Pseudomonas [fluorescens] SBW25]	80.93	215	1.74e-127	361	NA	NA	NA
tpx	sp|P57668.1|	P57668	RecName: Full=Thiol peroxidase; Short=Tpx; AltName: Full=Peroxiredoxin tpx; Short=Prx; AltName: Full=Thioredoxin peroxidase; AltName: Full=Thioredoxin-dependent peroxiredoxin [Pseudomonas aeruginosa PAO1]	73.939	165	1.37e-85	251	NA	NA	NA
traC_2	sp|P27190.1|	P27190	RecName: Full=DNA primase TraC; AltName: Full=Replication primase [Escherichia coli]	35.039	254	8.09e-26	110	NA	NA	NA
treA	sp|P39795.2|	P39795	RecName: Full=Trehalose-6-phosphate hydrolase; AltName: Full=Alpha,alpha-phosphotrehalase; AltName: Full=Phospho-alpha-(1-1)-glucosidase [Bacillus subtilis subsp. subtilis str. 168]	58.182	550	0	680	NA	NA	NA
treP	sp|P39794.3|	P39794	RecName: Full=PTS system trehalose-specific EIIBC component; AltName: Full=EIIBC-Tre; Short=EII-Tre; Includes: RecName: Full=Trehalose-specific phosphotransferase enzyme IIB component; AltName: Full=PTS system trehalose-specific EIIB component; Includes: RecName: Full=Trehalose permease IIC component; AltName: Full=PTS system trehalose-specific EIIC component [Bacillus subtilis subsp. subtilis str. 168]	51.398	465	1.98e-149	437	NA	NA	NA
treR	sp|P39796.2|	P39796	RecName: Full=HTH-type transcriptional regulator TreR; AltName: Full=Trehalose operon repressor [Bacillus subtilis subsp. subtilis str. 168]	42.308	234	2.29e-47	159	NA	NA	NA
treY	sp|Q44315.1|	Q44315	RecName: Full=Maltooligosyl trehalose synthase; AltName: Full=(1,4)-alpha-D-glucan 1-alpha-D-glucosylmutase [Arthrobacter sp. Q36]	33.297	919	2.7699999999999996e-112	366	NA	NA	NA
treZ	sp|P95867.1|	P95867	RecName: Full=Malto-oligosyltrehalose trehalohydrolase; Short=MTHase; AltName: Full=4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase; AltName: Full=Maltooligosyl trehalose trehalohydrolase [Saccharolobus solfataricus P2]	39.122	501	2.0599999999999999e-109	342	NA	NA	NA
tri1	sp|P76418.1|	P76418	RecName: Full=Putative ADP-ribosylglycohydrolase YegU [Escherichia coli K-12]	31.832	333	2.03e-39	145	NA	NA	NA
tri1_1	sp|A8GG79.1|	A8GG79	RecName: Full=ADP-ribosylarginine hydrolase Tri1; AltName: Full=Immunity protein Tri1; Short=Tri1-Sp [Serratia proteamaculans 568]	49.495	99	6.0299999999999995e-24	98.6	NA	NA	NA
tri1_2	sp|A8GG79.1|	A8GG79	RecName: Full=ADP-ribosylarginine hydrolase Tri1; AltName: Full=Immunity protein Tri1; Short=Tri1-Sp [Serratia proteamaculans 568]	45.804	286	5.25e-79	247	NA	NA	NA
trkA	sp|E1V6C6.1|	E1V6C6	RecName: Full=Trk system potassium uptake protein TrkA; Short=K(+)-uptake protein TrkA [Halomonas elongata DSM 2581]	74.617	457	0	679	NA	NA	NA
trkI	sp|E1V6K4.1|	E1V6K4	RecName: Full=Trk system potassium uptake protein TrkI [Halomonas elongata DSM 2581]	49.892	463	1.29e-109	337	NA	NA	NA
trmA	sp|C3K2F6.1|	C3K2F6	RecName: Full=tRNA/tmRNA (uracil-C(5))-methyltransferase; AltName: Full=tRNA (uracil(54)-C(5))-methyltransferase; AltName: Full=tRNA(m5U54)-methyltransferase; Short=RUMT; AltName: Full=tmRNA (uracil(341)-C(5))-methyltransferase [Pseudomonas [fluorescens] SBW25]	97.772	359	0	733	NA	NA	NA
trmB	sp|C3K3L6.1|	C3K3L6	RecName: Full=tRNA (guanine-N(7)-)-methyltransferase; AltName: Full=tRNA (guanine(46)-N(7))-methyltransferase; AltName: Full=tRNA(m7G46)-methyltransferase [Pseudomonas [fluorescens] SBW25]	97.5	240	4.33e-177	488	NA	NA	NA
trmD	sp|C3K1G9.1|	C3K1G9	RecName: Full=tRNA (guanine-N(1)-)-methyltransferase; AltName: Full=M1G-methyltransferase; AltName: Full=tRNA [GM37] methyltransferase [Pseudomonas [fluorescens] SBW25]	99.6	250	9.919999999999999e-157	438	NA	NA	NA
trmJ	sp|A0A0H2ZF87.1|	A0A0H2ZF87	RecName: Full=tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ; AltName: Full=tRNA (cytidine(32)/uridine(32)/adenosine(32)-2'-O)-methyltransferase; AltName: Full=tRNA Cm32/Um32/Am32 methyltransferase [Pseudomonas aeruginosa UCBPP-PA14]	72.656	256	1.1399999999999998e-132	377	NA	NA	NA
trmK	sp|P54471.2|	P54471	RecName: Full=tRNA (adenine(22)-N(1))-methyltransferase; AltName: Full=TrMet(m1A22); AltName: Full=tRNA(m1A22)-methyltransferase; Short=tRNA(m1A22)MTase [Bacillus subtilis subsp. subtilis str. 168]	37.5	240	5.88e-45	153	NA	NA	NA
trmL	sp|A0KAS4.2|	A0KAS4	RecName: Full=tRNA (cytidine(34)-2'-O)-methyltransferase; AltName: Full=tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL [Burkholderia cenocepacia HI2424]	64.052	153	1.0899999999999999e-66	202	NA	NA	NA
trmO	sp|Q9RPT0.1|	Q9RPT0	RecName: Full=Putative S-adenosylmethionine-dependent methyltransferase RcsF [Pseudomonas aeruginosa PAO1]	72.247	227	8.709999999999998e-119	340	NA	NA	NA
trmR	sp|G8T6H8.1|	G8T6H8	RecName: Full=Catechol O-methyltransferase; Short=COMT; Short=Catechol OMT; AltName: Full=NkCOMT [Niastella koreensis GR20-10]	36.923	130	6.35e-16	76.6	NA	NA	NA
trpA	sp|C3K568.1|	C3K568	RecName: Full=Tryptophan synthase alpha chain [Pseudomonas [fluorescens] SBW25]	97.026	269	1.1099999999999998e-179	498	NA	NA	NA
trpB	sp|P34817.1|	P34817	RecName: Full=Tryptophan synthase beta chain [Pseudomonas syringae pv. syringae]	95.588	408	0	811	NA	NA	NA
trpC	sp|C3K307.1|	C3K307	RecName: Full=Indole-3-glycerol phosphate synthase; Short=IGPS [Pseudomonas [fluorescens] SBW25]	97.842	278	1.6899999999999998e-167	468	NA	NA	NA
trpD_1	sp|C3K308.1|	C3K308	RecName: Full=Anthranilate phosphoribosyltransferase [Pseudomonas [fluorescens] SBW25]	98.281	349	0	625	NA	NA	NA
trpE	sp|P20579.1|	P20579	RecName: Full=Anthranilate synthase component 1; Short=AS; Short=ASI [Pseudomonas putida]	89.796	490	0	877	NA	NA	NA
trpF	sp|C3JZS5.1|	C3JZS5	RecName: Full=N-(5'-phosphoribosyl)anthranilate isomerase; Short=PRAI [Pseudomonas [fluorescens] SBW25]	93.333	210	1.56e-117	335	NA	NA	NA
trpG	sp|P00901.2|	P00901	RecName: Full=Anthranilate synthase component 2; Short=AS; Short=ASII; AltName: Full=Anthranilate synthase, GATase component; AltName: Full=Anthranilate synthase, glutamine amidotransferase component [Pseudomonas putida]	87.817	197	1.7699999999999998e-130	367	NA	NA	NA
trpI	sp|P34818.1|	P34818	RecName: Full=HTH-type transcriptional regulator TrpI; AltName: Full=TrpBA operon transcriptional activator [Pseudomonas syringae pv. syringae]	94.949	297	0	525	NA	NA	NA
truA	sp|O87016.1|	O87016	RecName: Full=tRNA pseudouridine synthase A; AltName: Full=tRNA pseudouridine(38-40) synthase; AltName: Full=tRNA pseudouridylate synthase I; AltName: Full=tRNA-uridine isomerase I [Pseudomonas aeruginosa PAO1]	73.704	270	9.429999999999999e-152	427	NA	NA	NA
truB	sp|Q4KIF4.1|	Q4KIF4	RecName: Full=tRNA pseudouridine synthase B; AltName: Full=tRNA pseudouridine(55) synthase; Short=Psi55 synthase; AltName: Full=tRNA pseudouridylate synthase; AltName: Full=tRNA-uridine isomerase [Pseudomonas protegens Pf-5]	96.393	305	0	600	NA	NA	NA
truD	sp|C3K704.1|	C3K704	RecName: Full=tRNA pseudouridine synthase D; AltName: Full=tRNA pseudouridine(13) synthase; AltName: Full=tRNA pseudouridylate synthase D; AltName: Full=tRNA-uridine isomerase D [Pseudomonas [fluorescens] SBW25]	94.602	352	0	678	NA	NA	NA
trxA	sp|Q9X2T1.1|	Q9X2T1	RecName: Full=Thioredoxin; Short=Trx [Pseudomonas aeruginosa PAO1]	80.769	104	4.03e-59	179	NA	NA	NA
trxC	sp|P0AGG4.1|	P0AGG4	RecName: Full=Thioredoxin 2; Short=Trx-2; AltName: Full=Protein-disulfide reductase [Escherichia coli K-12]	44.275	131	1.19e-40	135	NA	NA	NA
tsaB	sp|Q87RD1.1|	Q87RD1	RecName: Full=tRNA threonylcarbamoyladenosine biosynthesis protein TsaB; AltName: Full=t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaB [Vibrio parahaemolyticus RIMD 2210633]	50	224	2.9200000000000003e-64	202	NA	NA	NA
tsaC	sp|Q3KKE2.1|	Q3KKE2	RecName: Full=Threonylcarbamoyl-AMP synthase; Short=TC-AMP synthase; AltName: Full=L-threonylcarbamoyladenylate synthase; AltName: Full=t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC; AltName: Full=tRNA threonylcarbamoyladenosine biosynthesis protein TsaC [Pseudomonas fluorescens Pf0-1]	92.973	185	9.179999999999999e-125	352	NA	NA	NA
tsaD	sp|C3K338.1|	C3K338	RecName: Full=tRNA N6-adenosine threonylcarbamoyltransferase; AltName: Full=N6-L-threonylcarbamoyladenine synthase; Short=t(6)A synthase; AltName: Full=t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD; AltName: Full=tRNA threonylcarbamoyladenosine biosynthesis protein TsaD [Pseudomonas [fluorescens] SBW25]	99.12	341	0	664	NA	NA	NA
tsaE	sp|P0AF67.1|	P0AF67	RecName: Full=tRNA threonylcarbamoyladenosine biosynthesis protein TsaE; AltName: Full=t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE [Escherichia coli K-12]	56.552	145	4.849999999999999e-55	173	NA	NA	NA
tsf	sp|C3K5Z6.1|	C3K5Z6	RecName: Full=Elongation factor Ts; Short=EF-Ts [Pseudomonas [fluorescens] SBW25]	95.122	287	2.7199999999999995e-158	445	NA	NA	NA
tspO	sp|Q9RFC8.1|	Q9RFC8	RecName: Full=Tryptophan-rich sensory protein; Short=TSPO; AltName: Full=Translocator protein TspO; AltName: Full=TspO regulatory protein [Cereibacter sphaeroides]	46.528	144	4.9300000000000004e-33	117	NA	NA	NA
tsx	sp|P0A261.1|	P0A261	RecName: Full=Nucleoside-specific channel-forming protein Tsx; Flags: Precursor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	53.506	271	1.7099999999999998e-99	297	NA	NA	NA
ttcA	sp|Q3K8D5.1|	Q3K8D5	RecName: Full=tRNA-cytidine(32) 2-sulfurtransferase; AltName: Full=Two-thiocytidine biosynthesis protein A; AltName: Full=tRNA 2-thiocytidine biosynthesis protein TtcA [Pseudomonas fluorescens Pf0-1]	97.08	274	0	558	NA	NA	NA
ttgA	sp|P0C069.1|	P0C069	RecName: Full=Multidrug/solvent efflux pump periplasmic linker protein MepA; Flags: Precursor [Pseudomonas putida]	78.552	359	0	542	NA	NA	NA
ttgB	sp|P0C070.1|	P0C070	RecName: Full=Multidrug/solvent efflux pump membrane transporter MepB [Pseudomonas putida]	79.659	1057	0	1714	NA	NA	NA
ttgC_1	sp|P0C071.1|	P0C071	RecName: Full=Multidrug/solvent efflux pump outer membrane protein MepC; Flags: Precursor [Pseudomonas putida]	76.812	483	0	701	NA	NA	NA
ttgC_2	sp|P0C071.1|	P0C071	RecName: Full=Multidrug/solvent efflux pump outer membrane protein MepC; Flags: Precursor [Pseudomonas putida]	67.452	467	0	591	NA	NA	NA
ttgC_3	sp|P0C071.1|	P0C071	RecName: Full=Multidrug/solvent efflux pump outer membrane protein MepC; Flags: Precursor [Pseudomonas putida]	31.429	455	2.35e-33	134	NA	NA	NA
ttgC_5	sp|P0C071.1|	P0C071	RecName: Full=Multidrug/solvent efflux pump outer membrane protein MepC; Flags: Precursor [Pseudomonas putida]	31.277	470	3.62e-53	189	NA	NA	NA
